,SPY.Adjusted,F.Adjusted,SPYRet,Fret,Portret
203,187.84,15.81,0.003686882,0.010223642,0.006955262
204,186.66,15.66,-0.006281942,-0.009487666,-0.007884804
205,188.23,15.8,0.008411015,0.008939974,0.008675495
206,188.69,15.8,0.002443819,0,0.001221909
207,189.44,15.91,0.003974773,0.006962025,0.005468399
208,190.61,16.05,0.006176098,0.008799497,0.007487798
209,190.47,16.19,-0.000734484,0.008722741,0.003994129
210,191.45,16.42,0.005145167,0.0142063,0.009675734
211,191.76,16.32,0.001619222,-0.006090134,-0.002235456
212,191.98,16.32,0.001147267,0,0.000573634
213,191.88,16.43,-0.000520888,0.006740196,0.003109654
214,192.27,16.67,0.00203252,0.014607425,0.008319973
215,193.52,16.56,0.006501274,-0.00659868,-4.8703E-05
216,194.45,16.96,0.004805705,0.024154589,0.014480147
217,194.65,16.88,0.001028542,-0.004716981,-0.00184422
218,194.67,16.89,0.000102749,0.000592417,0.000347583
219,193.99,16.78,-0.003493091,-0.006512729,-0.00500291
220,192.62,16.4,-0.00706222,-0.022646007,-0.014854113
221,193.2,16.44,0.00301111,0.002439024,0.002725067
222,193.36,16.51,0.000828157,0.004257908,0.002543032
223,193.9,16.67,0.002792718,0.009691096,0.006241907
224,195.32,16.71,0.007323363,0.00239952,0.004861441
225,195.54,16.66,0.001126357,-0.00299222,-0.000932932
226,195.94,16.55,0.002045617,-0.006602641,-0.002278512
227,195.88,16.76,-0.000306216,0.012688822,0.006191303
228,194.7,16.85,-0.006024096,0.005369928,-0.000327084
229,195.58,17.08,0.004519774,0.013649852,0.009084813
230,195.44,17.08,-0.00071582,0,-0.00035791
231,195.82,17.16,0.001944331,0.004683841,0.003314086
232,195.72,17.12,-0.000510673,-0.002331002,-0.001420838
233,197.03,17.09,0.006693235,-0.001752336,0.002470449
234,197.23,17.1,0.001015074,0.000585138,0.000800106
235,198.2,17.2,0.004918116,0.005847953,0.005383035
236,197.51,17.2,-0.003481332,0,-0.001740666
237,196.24,16.99,-0.006430054,-0.012209302,-0.009319678
238,197.12,17.31,0.004484305,0.018834609,0.011659457
239,196.34,17.18,-0.003956981,-0.00751011,-0.005733545
240,196.61,17.35,0.001375166,0.009895227,0.005635196
241,197.6,17.43,0.005035349,0.004610951,0.00482315
242,197.23,17.42,-0.00187247,-0.000573723,-0.001223097
243,197.96,17.67,0.003701262,0.01435132,0.009026291
244,195.71,17.61,-0.011365933,-0.003395586,-0.007380759
245,197.71,17.59,0.010219202,-0.001135718,0.004541742
246,197.34,17.57,-0.001871428,-0.00113701,-0.001504219
247,198.2,17.69,0.004357961,0.006829824,0.005593892
248,198.64,17.65,0.00221998,-0.002261164,-2.05923E-05
249,198.65,17.71,5.03423E-05,0.003399433,0.001724888
250,197.72,17.49,-0.004681601,-0.01242236,-0.008551981
251,197.8,17.51,0.000404613,0.001143511,0.000774062
252,196.95,17.44,-0.00429727,-0.003997716,-0.004147493
253,196.98,17.46,0.000152323,0.001146789,0.000649556
